RANK,Name,POS,ADP,BYE,NOTES,gFAN PTS,gYDS Passing,gTDS Pass,gREC Receiving,gYDS  Recieiving,gTDS Reciieving,gATT rushing,gDS rushing,gTDS rushing,yFAN PTS,yYDS Passing,yTDS Pass,yREC Receiving,yYDS  Recieiving,yTDS Reciieving,yATT rushing,yYDS rushing,yTDS rushing
36,D.J. Moore CAR ,WR14,36.2,13,"It really stinks that we may not get to see Moore play with a top-tier quarterback during his early years. He‘s an extremely good football player who‘s been stuck in a bad situation. He made the most of bad targets last year, finishing as the WR18 and delivering WR2 or better performances 60.0 percent of the time, which ranked eighth among wide receivers. Now another obstacle to cross. He‘ll have a new quarterback and a new head coach in 2020. The coach (Matt Rhule) also decided they needed to bring in Robby Anderson, a receiver who previously played under him, which could mean the targets get spread out a bit. The good news is that Bridgewater attempted a deep ball on just 7.1 percent of his pass attempts, which was the second-lowest rate in the NFL, and not an area where Moore operates. The talent is there for Moore to make a jump into WR1 status, but the situation doesn‘t seem ideal with virtually no offseason. He‘s best suited as a WR2 on fantasy teams, as top-24 should be his absolute floor.",9.6,0,0,5.8,78.3,0.3,0.4,2.7,0,143.5,0,0,87,1175,4,6,40,0
37,JuJu Smith-Schuster PIT ,WR15,38.7,8,"Did everyone forget just how talented Smith-Schuster is because he had a down year in 2019? He played through multiple injuries and dealt with what was probably the worst quarterback situation in the league. In Week 1 and Week 2, when Ben Roethlisberger was on the field, Smith-Schuster saw 16 targets, catching 11 of them for 162 yards. Not too shabby. Insert bad quarterbacks, paired with Smith-Schuster trying to run routes from the perimeter, and it was a recipe for disaster. The Steelers have vowed to put him back in the slot where he belongs, and he‘s getting back Roethlisberger, who‘s continually supported fantasy receivers throughout his long career. Going all the way back to 2008, Ben Roethlisberger‘s No. 1 and No. 2 wide receivers combined for at least 225 targets on eight different occasions, including 334 times when he had Antonio Brown and Smith-Schuster in 2018. With Roethlisberger on the field, the Steelers haven‘t thrown the ball less than 584 times since way back in 2012. It‘s hard to see a scenario where Smith-Schuster doesn‘t see at least 130 targets if he‘s healthy (that would be just a 22.2 percent target share), which is elite volume, so even if he‘s average, he‘d be a high-end WR2. I‘ll leave you with this... Smith-Schuster posted 1,426 yards in his second NFL season at the age of 22. There are just six players who posted more yardage in one of their first two seasons. The list includes Isaac Bruce, Josh Gordon, Torry Holt, Jerry Rice, Victor Cruz, and Odell Beckham Jr. We can‘t pretend Smith-Schuster is anywhere close to average. He‘s worth a third-round pick in drafts, even though many are getting him in the fourth.",5.9,0,0,3.5,46,0.3,0,0,0,71.2,0,0,42,552,3,0,0,0
38,Jonathan Taylor IND ,RB18,40.2,7,"It‘s looking like a very good possibility for Taylor to see 250-plus carries in his rookie season. Some may think that‘s absurd, but Marlon Mack totaled 247 carries in just 14 games last year. Even if we give Mack the 100 carries that Jordan Wilkins and Jonathan Williams combined for last year, it‘d leave room for Taylor to hit the 250 mark. He‘s also running behind the best offensive line in football, so it wouldn‘t be a shock to see him rush for 1,200 yards in year one with his vision and speed in the open field. Taylor is right in the same territory as someone like Nick Chubb.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Calvin Ridley ATL ,WR16,40.4,10,"Prior to getting hurt and having his season cut short, Ridley was on pace for 1,066 yards and eight touchdowns in 2019, which would have had him as the WR14. Now going into his third NFL season, there‘s a real chance for a breakout. Sure, Julio Jones isn‘t going away but he doesn‘t have to. Not many realize that Mohamed Sanu saw 94 targets in 2018 and was on pace for 96 targets before being traded in 2019. We don‘t really expect Russell Gage to fill that role, do we? If you want to know if there‘s room for both Ridley and Jones to be WR1s, look no further than the Bucs last year with Mike Evans and Chris Godwin, even if it is rare for that to happen. Ridley saw 49 targets in the six games he played without Sanu, which would amount to 131 over an entire 16-game season. Ridley has real top-five breakout potential and is an ideal high-end WR2 on your fantasy team.",10.3,0,0,4.8,66.6,0.5,0.2,2.6,0,134,0,0,63,866,7,2,34,0
40,Robert Woods LAR ,WR17,42.3,9,"Despite scoring just two touchdowns last year, Woods was able to finish as the No. 17 wide receiver. Why do we continually doubt that his production will continue? Under Sean McVay, he‘s been a WR2 or better in 21-of-43 games, which is the same as Tyreek Hill. He may not have the upside that Hill does, but as a WR2 on your team, he‘s gold.",9.5,0,0,6,75.6,0.1,1.1,7.7,0.1,142.9,0,0,90,1134,2,17,115,1
41,Melvin Gordon DEN ,RB19,43.7,8,"He left the Chargers at the right time, as they‘re going to be going through a transitional period. Instead, he joins a now-exciting Broncos offense that suddenly has tons of firepower. You don‘t add Gordon in free agency if you don‘t plan on using him as your lead back. The potential upside is that new offensive coordinator Pat Shurmur has been a one-back kind of guy, so it‘s possible that Phillip Lindsay is just there to give Gordon breathers when he needs them. With Courtland Sutton, Jerry Jeudy, KJ Hamler, and Noah Fant out there are receiving threats, Gordon should see a lot of light fronts this year. He‘s a middling RB2 with RB1 upside if they decide to give him 15-plus touches per game.",11.6,0,0,3.5,24.7,0.1,13.5,51,0.7,138.8,0,0,42,296,1,162,612,8
42,Cooper Kupp LAR ,WR18,44.8,9,"It was a tale of two seasons for Kupp last year, as he was the No. 2 receiver in fantasy football through eight games, tallying 58 receptions for 792 yards and five touchdowns. He then fell off hard, finishing as the No. 31 receiver over the final eight games, totaling just 36 receptions for 369 yards and five touchdowns. The Rams started moving towards more 12 personnel, which includes two tight ends, which in turn leaves just two wide receivers on the field. Knowing Kupp is a slot receiver by nature, it affects him greatly. He actually played just 61 percent of the team‘s snaps in Weeks 16 and 17. But I‘d argue that Jared Goff needs him on the field. While targeting Kupp, Goff posted a 117.0 QB Rating. While targeting everyone else, that number is just 78.6. Sean McVay is consistently evolving as a play caller, which bodes well for Kupp, as he‘ll likely be expanded to different roles moving forward. There are question marks, that much we know. However, we have still yet to see a “bad” season from Kupp in the NFL. I don‘t consider him as safe as his teammate Robert Woods, but Kupp should still be considered a low-end WR2 who has more touchdown upside. I mean, he‘s scored 21 receiving touchdowns in 39 career games. Woods has 25 receiving touchdowns in 100 career games.",11,0,0,5.9,72.6,0.6,0.1,0.3,0,176.5,0,0,94,1161,10,2,4,0
43,David Johnson HOU ,RB20,45.1,8,"The Texans gave their running backs 397 touches last year, and that was with DeAndre Hopkins on the roster. That‘s a lot of work. The only running back they‘ve added was David Johnson. While Johnson looked horrendous down the stretch, it‘s possible he just tried to work his way back from injury way too soon. It appears Bill O‘Brien isn‘t convinced that Johnson is done with his NFL career, like some. It‘s possible that he‘s not as electric as he once was, but guys, the Texans gave Carlos Hyde (who‘s still unemployed) 255 touches last year. Opportunity is key in fantasy football, and Johnson appears to be in line for a lot of it in 2020, making him a low-end RB2 with upside for more should he actually be healthy.",8.1,0,0,2.8,28.5,0.3,7.2,26.5,0.2,105.5,0,0,36,370,4,94,345,2
44,Terry McLaurin WAS ,WR19,46.3,8,"It was remarkable what McLaurin was able to do last year while playing on one of the worst teams in football. The disappointing part was that even though he saw 37.1 percent of his team‘s air yards (sixth in the NFL), he finished with just 93 targets. Knowing it‘s unlikely we see a big increase in pass attempts, it‘s hard for him to see an air yards number that is much higher. The reason we can be semi-optimistic with his targets is due to the lack of options around him. Kelvin Harmon and Paul Richardson are gone, along with the 86 targets they saw last year. In comes rookie Antonio Gandy-Golden, and veteran Dontrelle Inman, who was recently signed off the street. If we look at offensive coordinator Scott Turner‘s offense last year, you‘ll see it was very top-heavy when it came to the wide receivers, as D.J. Moore and Curtis Samuel both hit 106-plus targets. I can‘t say there‘s anyone else on this Washington receiver depth chart that deserves more than 75 targets. This could be very similar to A.J. Brown, where we‘re looking at a player who might get a 25 percent target share in his offense, even if it is a low volume one. The difference is that McLaurin‘s quarterback hasn‘t ever posted all-time great numbers, and it‘s unreasonable to expect that. Still, McLaurin can likely live up to low-end WR2 expectations, though getting him as your WR3 is the ideal scenario.",9.6,0,0,4.1,65.6,0.5,0,0,0,133.9,0,0,58,919,7,0,0,0
45,Tyler Lockett SEA ,WR20,46.5,6,"It was a tale of two different seasons for Lockett, as he started out the year hot, but then had an injury derail his production. Clearly, he was affected by a serious shin contusion that had him in the hospital. I won‘t pretend that D.K. Metcalf started removing some of his elite target upside, but even Lockett‘s efficiency went down the tube. Combining Lockett‘s games under Brian Schottenheimer prior to the shin injury, he‘s totaled 116 receptions for 1,732 yards and 16 touchdowns over a span of 25 games. That‘s pretty dang good. Knowing that I‘m projecting a rise in pass attempts for the Seahawks overall, Lockett should see 110-plus targets as long as he‘s healthy, a number that goes very far with Russell Wilson as his quarterback. Seriously, stop talking about regression when it comes to Wilson‘s receivers. First it was Doug Baldwin. Regression never really happened. Then there was Lockett. Next, it‘ll be Metcalf. Lockett is perfectly fine as your WR2. He‘s the safer of the Seahawks receivers because his role is locked in. If the Seahawks were to sign or bring in someone like Josh Gordon/Antonio Brown, that would affect Metcalf a lot more.",9.6,0,0,5.1,66.1,0.5,0.3,-0.3,0,153.2,0,0,82,1057,8,4,-5,0
